Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Revenue,journey_month,journey_day,journey_weekday,journey_quarter,month_name,duration_mins,stops_clean,dep_hour,dep_time_of_day,arrival_hour,arrival_time_of_day,price_band
Jet Airways,2019-05-12,Delhi,Cochin,DEL → BOM → COK,16:00,28/05/26 12:35,20h 35m,1 stop,In-flight meal not included,12898,12898,5,12,6,2,May,1235,1,16,Afternoon,12,Afternoon,Premium
GoAir,2019-03-24,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495,19495,3,24,6,1,Mar,310,1,14,Afternoon,19,Evening,Premium
Air India,2019-05-01,Banglore,New Delhi,BLR → COK → DEL,22:00,19/03/26 13:20,15h 20m,1 stop,No info,6955,6955,5,1,2,2,May,920,1,22,Night,13,Afternoon,Mid-Range
IndiGo,2019-06-09,Banglore,Delhi,BLR → DEL,4:00,6:50,2h 50m,non-stop,No info,3943,3943,6,9,6,2,Jun,170,0,4,Night,6,Morning,Budget
IndiGo,2019-05-12,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823,4823,5,12,6,2,May,175,0,18,Evening,21,Night,Budget
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,18:55,07/05/26 8:15,13h 20m,1 stop,In-flight meal not included,7757,7757,3,24,6,1,Mar,800,1,18,Evening,8,Morning,Mid-Range
Jet Airways,2019-05-01,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,10/06/26 12:35,15h 10m,2 stops,No info,13292,13292,5,1,2,2,May,910,2,21,Night,12,Afternoon,Premium
IndiGo,2019-06-09,Delhi,Cochin,DEL → LKO → COK,21:50,02/06/26 3:35,5h 45m,1 stop,No info,8238,8238,6,9,6,2,Jun,345,1,21,Night,3,Night,Mid-Range
GoAir,2019-05-12,Delhi,Cochin,DEL → BOM → COK,7:00,12:55,5h 55m,1 stop,No info,7682,7682,5,12,6,2,May,355,1,7,Morning,12,Afternoon,Mid-Range
Vistara,2019-03-24,Banglore,Delhi,BLR → DEL,9:45,12:35,2h 50m,non-stop,No info,4668,4668,3,24,6,1,Mar,170,0,9,Morning,12,Afternoon,Budget
Vistara,2019-05-01,Chennai,Kolkata,MAA → CCU,7:05,9:20,2h 15m,non-stop,No info,3687,3687,5,1,2,2,May,135,0,7,Morning,9,Morning,Budget
Vistara,2019-06-09,Chennai,Kolkata,MAA → CCU,7:05,9:20,2h 15m,non-stop,No info,3687,3687,6,9,6,2,Jun,135,0,7,Morning,9,Morning,Budget
Air India,2019-05-12,Kolkata,Banglore,CCU → GAU → DEL → BLR,9:50,23:15,13h 25m,2 stops,No info,13227,13227,5,12,6,2,May,805,2,9,Morning,23,Night,Premium
IndiGo,2019-03-24,Banglore,Delhi,BLR → DEL,4:00,6:50,2h 50m,non-stop,No info,4423,4423,3,24,6,1,Mar,170,0,4,Night,6,Morning,Budget
Jet Airways,2019-05-01,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,16/06/26 12:35,22h,2 stops,In-flight meal not included,10919,10919,5,1,2,2,May,1320,2,14,Afternoon,12,Afternoon,Premium
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,7:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,12373,6,9,6,2,Jun,330,1,7,Morning,12,Afternoon,Premium
IndiGo,2019-05-12,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,5894,5,12,6,2,May,625,1,10,Morning,21,Night,Mid-Range
SpiceJet,2019-03-24,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649,4649,3,24,6,1,Mar,315,1,15,Afternoon,20,Evening,Budget
Air India,2019-05-01,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245,6245,5,1,2,2,May,150,0,14,Afternoon,16,Afternoon,Mid-Range
Jet Airways,2019-06-09,Banglore,New Delhi,BLR → BOM → DEL,7:00,13:15,6h 15m,1 stop,No info,19225,19225,6,9,6,2,Jun,375,1,7,Morning,13,Afternoon,Premium
Jet Airways,2019-05-12,Delhi,Cochin,DEL → BOM → COK,7:05,19:00,11h 55m,1 stop,No info,14924,14924,5,12,6,2,May,715,1,7,Morning,19,Evening,Premium
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → HYD → COK,7:05,18:10,11h 5m,1 stop,No info,9646,9646,3,24,6,1,Mar,665,1,7,Morning,18,Evening,Mid-Range
Air India,2019-05-01,Banglore,New Delhi,BLR → BOM → DEL,6:45,15:15,8h 30m,1 stop,No info,8714,8714,5,1,2,2,May,510,1,6,Morning,15,Afternoon,Mid-Range
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,20:55,19/05/26 19:00,22h 5m,1 stop,In-flight meal not included,12373,12373,6,9,6,2,Jun,1325,1,20,Evening,19,Evening,Premium
Air Asia,2019-05-12,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383,3383,5,12,6,2,May,165,0,11,Morning,13,Afternoon,Budget
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → BOM → COK,9:00,21:00,12h,1 stop,No info,13062,13062,3,24,6,1,Mar,720,1,9,Morning,21,Night,Premium
SpiceJet,2019-05-01,Banglore,New Delhi,BLR → DEL,5:45,8:35,2h 50m,non-stop,No check-in baggage included,3527,3527,5,1,2,2,May,170,0,5,Morning,8,Morning,Budget
IndiGo,2019-06-09,Banglore,Delhi,BLR → DEL,4:00,6:50,2h 50m,non-stop,No info,3943,3943,6,9,6,2,Jun,170,0,4,Night,6,Morning,Budget
Air India,2019-05-12,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,4667,5,12,6,2,May,135,0,11,Morning,13,Afternoon,Budget
Air India,2019-03-24,Kolkata,Banglore,CCU → HYD → BLR,19:00,16/05/26 11:05,16h 5m,1 stop,No info,6117,6117,3,24,6,1,Mar,965,1,19,Evening,11,Morning,Mid-Range
Jet Airways,2019-05-01,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,28/06/26 19:00,19h 55m,2 stops,In-flight meal not included,11150,11150,5,1,2,2,May,1195,2,23,Night,19,Evening,Premium
Jet Airways,2019-06-09,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,7202,6,9,6,2,Jun,195,0,11,Morning,14,Afternoon,Mid-Range
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,9:35,02/05/26 10:55,25h 20m,1 stop,No info,12121,12121,5,12,6,2,May,1520,1,9,Morning,10,Morning,Premium
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,28/03/26 1:10,2h 50m,non-stop,No info,4377,4377,3,24,6,1,Mar,170,0,22,Night,1,Night,Budget
IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,21:15,19/06/26 0:15,3h,non-stop,No info,3943,3943,5,1,2,2,May,180,0,21,Night,0,Night,Budget
Air Asia,2019-06-09,Banglore,Delhi,BLR → DEL,23:55,04/04/26 2:45,2h 50m,non-stop,No info,4483,4483,6,9,6,2,Jun,170,0,23,Night,2,Night,Budget
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,19:45,25/03/26 12:00,16h 15m,1 stop,No info,14231,14231,5,12,6,2,May,975,1,19,Evening,12,Afternoon,Premium
Air India,2019-03-24,Banglore,New Delhi,BLR → BOM → AMD → DEL,8:50,23:55,15h 5m,2 stops,No info,17345,17345,3,24,6,1,Mar,905,2,8,Morning,23,Night,Premium
Vistara,2019-05-01,Chennai,Kolkata,MAA → CCU,7:05,9:20,2h 15m,non-stop,No info,7414,7414,5,1,2,2,May,135,0,7,Morning,9,Morning,Mid-Range
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,19:00,07/05/26 1:30,6h 30m,1 stop,No info,8073,8073,6,9,6,2,Jun,390,1,19,Evening,1,Night,Mid-Range
Vistara,2019-05-12,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,07/03/26 16:45,25h 5m,1 stop,No info,12395,12395,5,12,6,2,May,1505,1,15,Afternoon,16,Afternoon,Premium
Air India,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,9:25,21:50,12h 25m,1 stop,No info,8366,8366,3,24,6,1,Mar,745,1,9,Morning,21,Night,Mid-Range
Air India,2019-05-01,Delhi,Cochin,DEL → MAA → COK,6:05,04/04/26 9:25,27h 20m,1 stop,No info,5117,5117,5,1,2,2,May,1640,1,6,Morning,9,Morning,Mid-Range
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,8:45,19:00,10h 15m,1 stop,No info,12524,12524,6,9,6,2,Jun,615,1,8,Morning,19,Evening,Premium
IndiGo,2019-05-12,Delhi,Cochin,DEL → BOM → COK,15:00,16/05/26 1:30,10h 30m,1 stop,No info,7191,7191,5,12,6,2,May,630,1,15,Afternoon,1,Night,Mid-Range
Vistara,2019-03-24,Chennai,Kolkata,MAA → CCU,7:05,9:20,2h 15m,non-stop,No info,3687,3687,3,24,6,1,Mar,135,0,7,Morning,9,Morning,Budget
IndiGo,2019-05-01,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,5894,5,1,2,2,May,625,1,10,Morning,21,Night,Mid-Range
Vistara,2019-06-09,Banglore,Delhi,BLR → DEL,9:45,12:35,2h 50m,non-stop,No info,5403,5403,6,9,6,2,Jun,170,0,9,Morning,12,Afternoon,Mid-Range
Air India,2019-05-12,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3625,3625,5,12,6,2,May,90,0,13,Afternoon,15,Afternoon,Budget
Air India,2019-03-24,Delhi,Cochin,DEL → BHO → BOM → COK,5:55,19:15,13h 20m,2 stops,No info,10861,10861,3,24,6,1,Mar,800,2,5,Morning,19,Evening,Premium
IndiGo,2019-05-01,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No info,6297,6297,5,1,2,2,May,135,0,13,Afternoon,15,Afternoon,Mid-Range
Jet Airways,2019-06-09,Mumbai,Hyderabad,BOM → HYD,7:05,8:30,1h 25m,non-stop,No info,5678,5678,6,9,6,2,Jun,85,0,7,Morning,8,Morning,Mid-Range
Jet Airways,2019-05-12,Banglore,New Delhi,BLR → BOM → DEL,5:45,13/03/26 8:15,26h 30m,1 stop,In-flight meal not included,9134,9134,5,12,6,2,May,1590,1,5,Morning,8,Morning,Mid-Range
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791,10791,3,24,6,1,Mar,440,1,11,Morning,19,Evening,Premium
Jet Airways,2019-05-01,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,25/06/26 12:35,13h 30m,2 stops,No info,12819,12819,5,1,2,2,May,810,2,23,Night,12,Afternoon,Premium
IndiGo,2019-06-09,Delhi,Cochin,DEL → BLR → COK,5:05,10:05,5h,1 stop,No info,6893,6893,6,9,6,2,Jun,300,1,5,Morning,10,Morning,Mid-Range
Vistara,2019-05-12,Banglore,New Delhi,BLR → DEL,9:50,12:35,2h 45m,non-stop,No info,7240,7240,5,12,6,2,May,165,0,9,Morning,12,Afternoon,Mid-Range
GoAir,2019-03-24,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898,3898,3,24,6,1,Mar,170,0,11,Morning,14,Afternoon,Budget
IndiGo,2019-05-01,Mumbai,Hyderabad,BOM → HYD,6:25,7:55,1h 30m,non-stop,No info,4049,4049,5,1,2,2,May,90,0,6,Morning,7,Morning,Budget
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,17:30,16/06/26 12:35,19h 5m,1 stop,In-flight meal not included,10262,10262,6,9,6,2,Jun,1145,1,17,Evening,12,Afternoon,Premium
SpiceJet,2019-05-12,Chennai,Kolkata,MAA → CCU,8:20,10:35,2h 15m,non-stop,No check-in baggage included,3332,3332,5,12,6,2,May,135,0,8,Morning,10,Morning,Budget
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,21:10,10/06/26 12:00,14h 50m,1 stop,In-flight meal not included,10844,10844,3,24,6,1,Mar,890,1,21,Night,12,Afternoon,Premium
Jet Airways,2019-05-01,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No info,7229,7229,5,1,2,2,May,160,0,19,Evening,22,Night,Mid-Range
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,6:30,07/05/26 4:40,22h 10m,1 stop,No info,13941,13941,6,9,6,2,Jun,1330,1,6,Morning,4,Night,Premium
IndiGo,2019-05-12,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,5894,5894,5,12,6,2,May,575,1,11,Morning,21,Night,Mid-Range
Multiple carriers,2019-03-24,Delhi,Cochin,DEL → BOM → COK,9:00,19:00,10h,1 stop,No info,10197,10197,3,24,6,1,Mar,600,1,9,Morning,19,Evening,Premium
Jet Airways,2019-05-01,Banglore,New Delhi,BLR → BOM → DEL,14:05,07/03/26 11:25,21h 20m,1 stop,In-flight meal not included,13712,13712,5,1,2,2,May,1280,1,14,Afternoon,11,Morning,Premium
IndiGo,2019-06-09,Delhi,Cochin,DEL → MAA → COK,2:00,7:25,5h 25m,1 stop,No info,5636,5636,6,9,6,2,Jun,325,1,2,Night,7,Morning,Mid-Range
Jet Airways,2019-05-12,Delhi,Cochin,DEL → JAI → BOM → COK,9:40,07/06/26 4:25,18h 45m,2 stops,No info,13014,13014,5,12,6,2,May,1125,2,9,Morning,4,Night,Premium
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,8:25,20:45,12h 20m,1 stop,In-flight meal not included,7064,7064,3,24,6,1,Mar,740,1,8,Morning,20,Evening,Mid-Range
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,20:25,25/05/26 14:25,18h,1 stop,In-flight meal not included,10703,10703,5,1,2,2,May,1080,1,20,Evening,14,Afternoon,Premium
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,9646,9646,6,9,6,2,Jun,555,1,13,Afternoon,22,Night,Mid-Range
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,2:15,13:20,11h 5m,1 stop,No info,17057,17057,5,12,6,2,May,665,1,2,Night,13,Afternoon,Premium
Jet Airways,2019-03-24,Banglore,New Delhi,BLR → BOM → DEL,16:55,13/03/26 10:25,17h 30m,1 stop,No info,13817,13817,3,24,6,1,Mar,1050,1,16,Afternoon,10,Morning,Premium
Air India,2019-05-01,Delhi,Cochin,DEL → BHO → BOM → COK,5:55,19:15,13h 20m,2 stops,No info,13748,13748,5,1,2,2,May,800,2,5,Morning,19,Evening,Premium
Air India,2019-06-09,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4880,4880,6,9,6,2,Jun,155,0,20,Evening,23,Night,Budget
IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,5:15,7:40,2h 25m,non-stop,No info,3540,3540,5,12,6,2,May,145,0,5,Morning,7,Morning,Budget
SpiceJet,2019-03-24,Banglore,Delhi,BLR → DEL,5:55,8:35,2h 40m,non-stop,No check-in baggage included,3257,3257,3,24,6,1,Mar,160,0,5,Morning,8,Morning,Budget
Jet Airways,2019-05-01,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478,6478,5,1,2,2,May,180,0,19,Evening,22,Night,Mid-Range
Jet Airways,2019-06-09,Mumbai,Hyderabad,BOM → HYD,7:05,8:30,1h 25m,non-stop,No info,8040,8040,6,9,6,2,Jun,85,0,7,Morning,8,Morning,Mid-Range
Jet Airways,2019-05-12,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,13/06/26 12:35,16h 35m,2 stops,No info,14300,14300,5,12,6,2,May,995,2,20,Evening,12,Afternoon,Premium
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,8:25,20:45,12h 20m,1 stop,No info,14781,14781,3,24,6,1,Mar,740,1,8,Morning,20,Evening,Premium
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,20:00,10/06/26 8:15,12h 15m,1 stop,No info,14939,14939,5,1,2,2,May,735,1,20,Evening,8,Morning,Premium
Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,20:55,25/06/26 4:25,7h 30m,1 stop,In-flight meal not included,10262,10262,6,9,6,2,Jun,450,1,20,Evening,4,Night,Premium
Air India,2019-05-12,Kolkata,Banglore,CCU → MAA → BLR,14:35,13/05/26 14:35,24h,1 stop,No info,6528,6528,5,12,6,2,May,1440,1,14,Afternoon,14,Afternoon,Mid-Range
Air India,2019-03-24,Banglore,Delhi,BLR → DEL,6:10,8:55,2h 45m,non-stop,No info,6121,6121,3,24,6,1,Mar,165,0,6,Morning,8,Morning,Mid-Range
Jet Airways,2019-05-01,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,19/05/26 4:25,8h 55m,2 stops,In-flight meal not included,13029,13029,5,1,2,2,May,535,2,19,Evening,4,Night,Premium
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No info,11421,11421,6,9,6,2,Jun,430,1,11,Morning,18,Evening,Premium
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → BOM → COK,4:45,19:15,14h 30m,1 stop,No info,7574,7574,5,12,6,2,May,870,1,4,Night,19,Evening,Mid-Range
Air India,2019-03-24,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,10/05/26 19:15,30h 20m,2 stops,No info,11596,11596,3,24,6,1,Mar,1820,2,12,Afternoon,19,Evening,Premium
Jet Airways,2019-05-01,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,25/05/26 19:00,19h 55m,2 stops,No info,15129,15129,5,1,2,2,May,1195,2,23,Night,19,Evening,Premium
Jet Airways,2019-06-09,Banglore,New Delhi,BLR → BOM → DEL,14:05,16/03/26 5:05,15h,1 stop,No info,13555,13555,6,9,6,2,Jun,900,1,14,Afternoon,5,Morning,Premium
IndiGo,2019-05-12,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,5780,5780,5,12,6,2,May,175,0,18,Evening,21,Night,Mid-Range
Vistara,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,20:20,13/05/26 9:05,12h 45m,1 stop,No info,9397,9397,3,24,6,1,Mar,765,1,20,Evening,9,Morning,Mid-Range
Jet Airways,2019-05-01,Delhi,Cochin,DEL → BOM → COK,18:15,07/03/26 4:25,10h 10m,1 stop,No info,17024,17024,5,1,2,2,May,610,1,18,Evening,4,Night,Premium
GoAir,2019-06-09,Delhi,Cochin,DEL → BOM → COK,7:00,12:55,5h 55m,1 stop,No info,5281,5281,6,9,6,2,Jun,355,1,7,Morning,12,Afternoon,Mid-Range
Multiple carriers,2019-05-12,Delhi,Cochin,DEL → HYD → COK,7:05,22:30,15h 25m,1 stop,No info,10348,10348,5,12,6,2,May,925,1,7,Morning,22,Night,Premium
Air India,2019-03-24,Delhi,Cochin,DEL → MAA → COK,17:20,07/03/26 9:25,16h 5m,1 stop,No info,12677,12677,3,24,6,1,Mar,965,1,17,Evening,9,Morning,Premium
Multiple carriers,2019-05-01,Delhi,Cochin,DEL → BOM → COK,15:25,04/03/26 1:35,10h 10m,1 stop,No info,15147,15147,5,1,2,2,May,610,1,15,Afternoon,1,Night,Premium
Vistara,2019-06-09,Banglore,Delhi,BLR → DEL,7:00,9:40,2h 40m,non-stop,No info,4668,4668,6,9,6,2,Jun,160,0,7,Morning,9,Morning,Budget
Jet Airways,2019-05-12,Delhi,Cochin,DEL → BOM → COK,7:05,19:00,11h 55m,1 stop,No info,15554,15554,5,12,6,2,May,715,1,7,Morning,19,Evening,Premium
SpiceJet,2019-03-24,Banglore,Delhi,BLR → DEL,5:55,8:35,2h 40m,non-stop,No info,3971,3971,3,24,6,1,Mar,160,0,5,Morning,8,Morning,Budget
Air India,2019-05-01,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,non-stop,No info,3100,3100,5,1,2,2,May,85,0,15,Afternoon,16,Afternoon,Budget
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,20:00,07/05/26 10:05,14h 5m,1 stop,In-flight meal not included,9663,9663,6,9,6,2,Jun,845,1,20,Evening,10,Morning,Mid-Range
IndiGo,2019-03-24,Chennai,Kolkata,MAA → CCU,5:15,7:40,2h 25m,non-stop,No info,3540,3540,3,24,6,1,Mar,145,0,5,Morning,7,Morning,Budget
Air India,2019-05-01,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,22/05/26 11:10,23h 10m,2 stops,No info,10676,10676,5,1,2,2,May,1390,2,12,Afternoon,11,Morning,Premium
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,14:05,13/06/26 8:15,18h 10m,1 stop,No info,13044,13044,6,9,6,2,Jun,1090,1,14,Afternoon,8,Morning,Premium
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,20:00,07/05/26 12:00,16h,1 stop,No info,14388,14388,5,12,6,2,May,960,1,20,Evening,12,Afternoon,Premium
IndiGo,2019-03-24,Banglore,Delhi,BLR → DEL,4:00,6:50,2h 50m,non-stop,No info,3943,3943,3,24,6,1,Mar,170,0,4,Night,6,Morning,Budget
IndiGo,2019-05-01,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3597,3597,5,1,2,2,May,140,0,14,Afternoon,17,Evening,Budget
Air India,2019-06-09,Banglore,New Delhi,BLR → MAA → DEL,11:50,19:50,8h,1 stop,No info,5932,5932,6,9,6,2,Jun,480,1,11,Morning,19,Evening,Mid-Range
Jet Airways,2019-05-12,Delhi,Cochin,DEL → BOM → COK,11:30,16/06/26 4:25,16h 55m,1 stop,In-flight meal not included,10262,10262,5,12,6,2,May,1015,1,11,Morning,4,Night,Premium
Vistara,2019-03-24,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216,6216,3,24,6,1,Mar,190,0,14,Afternoon,17,Evening,Mid-Range
IndiGo,2019-05-01,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,non-stop,No info,4804,4804,5,1,2,2,May,165,0,20,Evening,23,Night,Budget
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,11:30,22/05/26 1:30,14h,1 stop,No info,14067,14067,6,9,6,2,Jun,840,1,11,Morning,1,Night,Premium
Jet Airways,2019-05-12,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19/05/26 19:00,23h 50m,2 stops,No info,15129,15129,5,12,6,2,May,1430,2,19,Evening,19,Evening,Premium
Jet Airways,2019-03-24,Delhi,Cochin,DEL → NAG → BOM → COK,6:45,07/06/26 4:25,21h 40m,2 stops,No info,13376,13376,3,24,6,1,Mar,1300,2,6,Morning,4,Night,Premium
Air India,2019-05-01,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,28/06/26 19:15,21h 15m,2 stops,No info,10441,10441,5,1,2,2,May,1275,2,22,Night,19,Evening,Premium
Jet Airways,2019-06-09,Banglore,Delhi,BLR → DEL,6:00,8:45,2h 45m,non-stop,In-flight meal not included,4030,4030,6,9,6,2,Jun,165,0,6,Morning,8,Morning,Budget
Jet Airways,2019-05-12,Delhi,Cochin,DEL → BOM → COK,8:00,18:50,10h 50m,1 stop,No info,17024,17024,5,12,6,2,May,650,1,8,Morning,18,Evening,Premium
